Entleerungszeit (Sek),Durchflussrate (m³/s),Volumen (m³),Höhe (m)
23282.5945652988,0.0,0.0,0.0
20942.60576775149,0.004316691648950311,5.050505050505051,0.045454545454545456
19973.350672006276,0.00610472387452821,10.101010101010102,0.09090909090909091
19229.615078804713,0.007476729256590215,15.15151515151515,0.13636363636363635
18602.61697020413,0.008633383297900622,20.202020202020204,0.18181818181818182
18050.22054739484,0.009652415964958557,25.252525252525256,0.2272727272727273
17550.81600747892,0.01057369191686159,30.3030303030303,0.2727272727272727
17091.566136311332,0.011420892589671855,35.35353535353536,0.3181818181818182
16664.106778713627,0.01220944774905642,40.40404040404041,0.36363636363636365
16262.628172656638,0.012950074946850933,45.45454545454546,0.4090909090909091
15882.900265770419,0.013650577567310975,50.50505050505051,0.4545454545454546
15521.729710199197,0.014316846535228732,55.55555555555556,0.5
15176.635592310628,0.01495345851318043,60.6060606060606,0.5454545454545454
14845.644971730353,0.015564053080657546,65.65656565656566,0.5909090909090909
14527.15819598733,0.016151581194720318,70.70707070707071,0.6363636363636364
14219.856922085937,0.01671847486709719,75.75757575757576,0.6818181818181819
13922.63937510927,0.017266766595801245,80.80808080808082,0.7272727272727273
13634.573590248858,0.017798175621843805,85.85858585858585,0.7727272727272727
13354.862885420906,0.01831417162358463,90.90909090909092,0.8181818181818182
13082.819867772467,0.01881602266820036,95.95959595959596,0.8636363636363636
12817.846529490878,0.019304831929917114,101.01010101010102,0.9090909090909092
12559.41877518918,0.019781566233098544,106.06060606060606,0.9545454545454546
12307.07423147224,0.02024707854053473,111.11111111111111,1.0
12060.402525822396,0.020702125886456667,116.16161616161617,1.0454545454545454
11819.037449659043,0.02114738383372318,121.2121212121212,1.0909090909090908
11582.650577561843,0.02158345824475156,126.26262626262628,1.1363636363636365
11350.946025016136,0.022010894952160652,131.31313131313132,1.1818181818181819
11123.656105816543,0.022430187769770647,136.36363636363637,1.2272727272727273
10900.537707323869,0.02284178517934371,141.41414141414143,1.2727272727272727
10681.3692436576,0.023246095951178627,146.46464646464645,1.3181818181818181
10465.948078037842,0.023643493899242574,151.51515151515153,1.3636363636363638
10254.088328892958,0.024034321928351508,156.56565656565658,1.4090909090909092
10045.618992128273,0.02441889549811284,161.61616161616163,1.4545454545454546
9840.382325590617,0.02479750560318261,166.66666666666669,1.5
9638.232452323064,0.025170421349909704,171.7171717171717,1.5454545454545454
9439.034147449098,0.025537892194229885,176.7676767676768,1.590909090909091
9242.66178001445,0.025900149893701867,181.81818181818184,1.6363636363636365
9048.998386259942,0.026257410217086188,186.8686868686869,1.6818181818181819
8857.934854907122,0.026609874447288538,191.91919191919192,1.7272727272727273
8669.369208340668,0.026957730707397775,196.96969696969697,1.7727272727272727
8483.20596624203,0.02730115513462195,202.02020202020205,1.8181818181818183
8299.35558040175,0.027640312922917708,207.0707070707071,1.8636363636363638
8117.73393121495,0.02797535925182962,212.12121212121212,1.9090909090909092
7938.261877826422,0.0283064401163595,217.17171717171718,1.9545454545454546
7760.864855099599,0.028633693070457465,222.22222222222223,2.0
7585.47251158692,0.02895724789487566,227.27272727272728,2.0454545454545454
7412.018383515886,0.029277227198582154,232.32323232323233,2.090909090909091
7240.439600506118,0.029593746961638967,237.37373737373736,2.1363636363636362
7070.67661932246,0.02990691702636086,242.4242424242424,2.1818181818181817
6902.67298246706,0.030216841542652178,247.47474747474752,2.2272727272727275
6736.375098835643,0.03052361937264105,252.52525252525257,2.272727272727273
6571.73204402206,0.030827344459067266,257.5757575757576,2.3181818181818183
6408.695378161912,0.031128106161315092,262.62626262626264,2.3636363636363638
6247.218979468407,0.03142598956249779,267.67676767676767,2.409090909090909
6087.258891839166,0.03172107575058477,272.72727272727275,2.4545454545454546
5928.773185107037,0.03201344207620378,277.77777777777777,2.5
5771.721826675861,0.032303162389440636,282.82828282828285,2.5454545454545454
5616.066563427711,0.032590307257690736,287.8787878787879,2.590909090909091
5461.770812914553,0.03287494416638311,292.9292929292929,2.6363636363636362
5308.799562957478,0.033157137704194616,297.97979797979804,2.681818181818182
5157.119278872869,0.03343694973419438,303.03030303030306,2.7272727272727275
5006.697817629085,0.03371443955220313,308.08080808080814,2.772727272727273
4857.504348311211,0.033989664033515776,313.13131313131316,2.8181818181818183
4709.509278336404,0.034262677769015565,318.1818181818182,2.8636363636363638
4562.68418491967,0.03453353319160249,323.23232323232327,2.909090909090909
4417.001751340539,0.034802280693765286,328.2828282828283,2.9545454545454546
4272.435707605873,0.03506896873704366,333.33333333333337,3.0
4128.960775143781,0.035333643954054084,338.3838383838384,3.0454545454545454
3986.5526151988925,0.03559635124368761,343.4343434343434,3.090909090909091
3845.1877806306684,0.035857133860029825,348.4848484848485,3.1363636363636362
3704.8436708444015,0.0361160334955019,353.5353535353536,3.181818181818182
3565.49848960963,0.03637309035867495,358.5858585858586,3.2272727272727275
3427.131205543012,0.03662834324716926,363.6363636363637,3.272727272727273
3289.721515052823,0.03688182961601237,368.6868686868687,3.3181818181818183
3153.249807560184,0.03713358564179716,373.7373737373738,3.3636363636363638
3017.6971328283753,0.03738364628295108,378.7878787878788,3.409090909090909
2883.0451702461314,0.03763204533640072,383.83838383838383,3.4545454545454546
2749.2761999239283,0.03787881549089196,388.8888888888889,3.5
2616.373075474197,0.03812398837720358,393.93939393939394,3.5454545454545454
2484.319198357061,0.038367594615472976,398.989898989899,3.590909090909091
2353.09849368296,0.03860966385983423,404.0404040404041,3.6363636363636367
2222.695387372279,0.038850224840552804,409.0909090909091,3.681818181818182
2093.0947845801097,0.039089305403826546,414.1414141414142,3.7272727272727275
1964.2820493015572,0.039326932549408694,419.1919191919192,3.772727272727273
1836.2429850795675,0.03956313246619709,424.24242424242425,3.8181818181818183
1708.963816743302,0.03979793056592234,429.29292929292933,3.8636363636363638
1582.4311731105618,0.040031351515057455,434.34343434343435,3.909090909090909
1456.63207059278,0.04026341926506255,439.39393939393943,3.9545454545454546
1331.5538976456805,0.04049415708106946,444.44444444444446,4.0
1207.1844000128915,0.04072358756910355,449.49494949494954,4.045454545454546
1083.5116667136504,0.04095173270193292,454.54545454545456,4.090909090909091
960.5241167292277,0.041178613843628586,459.59595959595964,4.136363636363637
838.2104863459937,0.041404251772913334,464.64646464646466,4.181818181818182
716.5598171159119,0.0416286667053716,469.69696969696975,4.2272727272727275
595.5614443981128,0.04185187831458741,474.7474747474747,4.2727272727272725
475.204986447561,0.042073905752272975,479.79797979797985,4.318181818181818
355.4803340192924,0.04229476766744636,484.8484848484848,4.363636363636363
236.37764045869164,0.042514482224712366,489.8989898989899,4.409090909090909
117.88731225038181,0.04273306712169747,494.94949494949503,4.454545454545455
0.0,0.04295053960568619,500.0,4.5
